renderedContent,replyCount,retweetCount,likeCount,quoteCount,mentionedUserCount
fuck depression has hit killing eve rewatch hang it up flat screen,0,0,3,0,0
@DREIDPIPER1 @_ReaalAmerican_ @realDonaldTrump @foxandfriends Only you are showing qualities of stupidness here. So what the market WAS at a record high. That was trillions of dollars ago. Guess when else the market was breaking records? Late 1929 just before the Great Depression. Please cont being idiotic w/o me cause I mute the ignorant,1,0,0,0,4
"What does Wisconsins weather and depression have in common?

You never know what its going to do but its always several vastly different things in the span of a few hours.",0,0,0,0,0
When u go out of town and ur bff cleans ur depression room and washed ur sheets and makes ur bed...I’m not worthy 🥺,0,0,0,0,0
"wow i was so mad i meant to write ""what depression is"" but i omitted words out of anger",0,0,2,0,0
Post Inuman Depression,0,0,0,2,0
I-I’ve done it! I’ve reached back to my old discord group that helped me through some tough times after over a year. My depression made me go away but I’m finally back.,0,0,1,0,0
"@EnvyJayne On my break between semesters on university right now. It's pretty chill because I have all the time for my hobbies but also a tough time with less social contacts and my depression lurking in the back... always fighting to fin my way, though!",0,0,0,0,1
"@TrixLOL @logantaylor05 That is not how it works. Not with depression. I can tell you that how often you want, but you are just trolling Logan and me. It is not funny and not okay. Find some other hobby, it is just sad",0,0,0,0,2
@Cris_Dominguez5 Not exactly how depression works 😂,0,0,2,0,1
"This is the look of no sleep, psoriasis, depression and overthinking... someone shoot me please.🙃 https://t.co/IfRS1haQW9",0,0,0,0,0
Depression fucking sucks,0,0,2,0,0
giving up depression for lent,0,0,0,0,0
Loveee depression 😞,0,0,3,1,0
i heard Animal Crossing cures depression so I guess I’m gonna have to cop New Horizons,0,0,6,0,0
@msrachelhollis gray area: when depression makes you isolate yourself and those five people are in your head 😭,0,0,1,0,1
August will be one year of me finally overcoming every shread of my depression and listen.............my nigga listen.,0,0,2,0,0
Saturday’s  may be for the boys but Sunday’s are for depression naps 💯,0,3,9,0,0
@Amynoel1221Amy That’s called depression my friend and it is the worst,1,0,1,0,1
"My heart has been hurting for a long time and I can’t even fake it. The more shit I get put through, makes my heart hurt more. I feel like i’m going into a depression and I need to keep my head up.",0,0,0,0,0
Depression fûckiñ sucks 😩👺💩,0,0,0,0,0
Cleaning your depression room is the best,0,1,6,0,0
@aubrey75092 At least we got plague and great depression II to look forward to.,1,0,1,0,1
depression really fucking sucks.,0,0,0,0,0
#iamnotokaywiththis if written well and if #Netflix continues this it could be a really good metaphor for teenage anger and depression and our inability as adults to give it the proper time and consideration and because of that the monsters it makes. #IAmNotOkayWithThisNetflix,0,0,0,0,0
i don’t think some of my friends like truly understand depression and it makes me rethink who i have around me to support me bc i feel like no one understands it all or tries to and just kinda sit there like “be happy for once” or ask why i’m always crying like I DONT KNOW,2,0,1,0,0
"Hey google, is there such thing as post-period depression?",2,0,2,0,0
@greekjupiter My thought was this song writer and this director nailed depression. Essentially what you just said in fewer words 🙃,0,0,0,0,1
yes bc have depression n,0,0,1,0,0
@CreativeMrPen That comes after the depression,1,0,0,0,1
"@KokuKokuBoo I've been feeling the same way too. I don't draw much bc I still have low confidence, but I've been writing my characters into depressing/horrible situations due to my depression. I feel bad for writing that way but hopefully we can both feel better in the future. Love ya, Koku! https://t.co/Ry0bZ5llYV",0,0,0,0,1
I just woke up from a good ass depression nap,0,0,0,0,0
@paulyscherbear @queenginger13 Girl I full on ugly cried the first time I left the tweebas in Vegas....and had post trip depression FOR MONTHS 🤣🤣🤣🤣🤣,0,0,0,0,2
Depression gets deeper when u dont have someone to share ur problems with,0,0,1,0,0
Suicidal?? You mean terminal depression?,0,0,3,0,0
@Elmasry8203 @adel_Depression و فيرس صيني ياريته أصلي 😂😂,0,0,2,0,1
@depression_dull 昨日は休暇でして。,0,0,0,0,1
Envying people without depression is at an all time high rn,0,0,1,0,0
I realized and admitted to myself today that I have stages of depression and I’m not just tired all the time.,1,0,4,0,0
@genlez I very experienced in both depression and rejuvenation sleep 🤣,1,0,1,0,1
@realnattiazua ended depression,0,0,0,0,1
my depression: cured https://t.co/fWDdKoyftJ,0,0,0,0,0
"@tyvxn_ No lie when I went through my lil depression phase, I wish I had woman to let it all out too. But these women don’t care about us men feelings!",0,0,0,0,0
Watching a movie and this scene is really just a girl depression eating a whole pie,0,0,0,0,0
TGINK IM HACIN AN ANXIETT / DEPRESSION SESSION I WANT TO VWORD,0,0,1,0,0
"#JeSuisVictime j’ai été battue durant la grosse partie de mon enfance, donc j’ai caché mon corps assez tôt 
Octobre 2019 j’etais en depression et j’ai decidé de sortir avec une personne que je connaissais a st leu, du moins je pensais connaitre cette personne",1,0,2,0,0
"@jodiehalford28 I absolutely bawled my eyes out at #winthewilderness 
Especially at the end when he touched the soil before flying off.
Their water they get from rain water harvesting into a tarp covered depression above the house that two of the couples had to clear out as one of their tasks!",1,0,1,0,1
"Some said you can't call this depression unless you're diagnosed.

Why are u not getting diagnosed?

Birch i don't even trust myself how can I trust others?

And what should i call to this pain?

Lil bunny sweety pie?",0,0,0,0,0
"@MadAce48 @DEMiller1958 @BernieSanders And the country will go into Depression than most likely a civil war

Monkey leaves 
Ask France.",1,0,0,0,3
how am i supposed to make it evident to my parents that my sister has depression without actually having to talk to them about a serious topic,0,0,0,0,0
@Scattered211 You are the only other person in the world I have ever heard express this. I am exactly the same way. I have Spring Onset Depression. You hit my particular nail on the head.,3,0,7,0,1
So we all know about post-nut clarity..but am I the only one with post-nut depression? Lol I’m laughing but I’m serious,1,1,0,0,0
ces derniers jours le seul truc qui empêche une vague de dépression de 100% m'engouffrer est le fait que. je refuse.,6,0,10,1,0
"i’m burnt out 
my mom is burnt out
we’re both taking depression naps all day",0,0,0,0,0
"@LucioMM1 countries would not ""collapse"" if there were a year-long rather than 3-months long tourism depression. there would be a recession, yes. regarding your willingness to sacrifice ""quality-adjusted life-years"" on a concentrated population for a brisker economy for the rest...",2,0,1,0,1
Depression is real yall talk to your close ones they got real shit they fighting,3,15,63,1,0
@laurensherebih Try starting a new hobby to take your mind off depression.,0,0,0,0,0
@DrShayPhD Thankfully I was raised by independent parents who survived the end of the depression.  You could literally shop in my pantry 😎 also living in Florida with hurricane possibly I always have pantry full ❤,4,3,13,0,1
"@PaoloAPalma That's why the doctor wants to take them off the meds. ""Well, the meds that make you able to work also make you fat and you're fat so I'm gonna pull you (with PTSD/severe depression and physical issues that can be life-threatening off meds) off your meds until you're thin""",0,0,1,0,1
i truly hate america my depression just gets worse every time I come back,2,0,3,0,0
hair depression is real 🥺🤦🏽‍♀️,0,2,3,0,0
Hit with the biggest mood swing and now I have to be happy for dinner. Depression sucks when you have to exist.,0,0,0,0,0
@Depression_A9 تخيلت,0,0,0,0,1
"@JistersLXXV @Conflits_FR Que de bonne nouvelles, plus de dépression et la planète respire mieux 👍",0,0,0,0,1
sundays are for #depression,0,0,2,0,0
"@jennajulien cures my depression. 

That is all. Thank you for coming to my Ted talk.",0,0,0,0,1
@iamcardib Depression is a whole hoe,0,0,0,0,1
"I have crippling depression, I struggle to wake up in the morning, everyday is a walking nightmare #ToriesFault",0,0,1,0,0
Depression is real y’all to your close ones they got real shit they fighting,1,6,27,0,0
@malreverie Thank you for curing my tros novel depression. 🥰,1,0,1,0,1
Self medicate myself through my depression,0,0,0,0,0
@Depression_A9 للأسف انت نحس 🌚,0,0,1,0,1
@itsJeffTiedrich @realDonaldTrump Reality check. Today my girlfriend suggested I'm showing symptoms of depression. So..... I threw a hand grenade at a cop car. I realized she might be right.,0,0,0,0,2
"@ravenclaw0044 @eponinetaire Hey I'm Robin. I have crippling anxiety and depression. Talked to a therapist for the first time start of Feb. And started therapy a week ago. 
Currently figuring if I'm going to get meds or not.",0,0,1,0,2
"@rolandsmartin @PeteButtigieg Wow, the cable networks  (MSNBC &amp; CNN) are going into a deep depression after this news!",0,0,0,0,2
Littlest just told me that he doesn’t think his meds are really doing anything for his depression. Put a reminder in my calendar to call his psychiatrist tomorrow. 😢,0,0,0,0,0
"@FloweryRin ""You better flip that frown upside down. Else I'll fuck the depression right out of you... your ass will be in danger, you pretty, pretty maid~""

Charming yet slightly menacing, can't have a depressed maid, after all. Those hands are staying until he moves them away.",1,0,0,0,1
@juanangel702  before my depression hit me hard!!!! https://t.co/ZA54YuUVMU,0,0,7,0,0
"Depression please go away, at least for today.",0,0,0,0,0
@Mandelbr0t No I was poking fun at those deep emotional indie games that have moral stuff and depression in them,0,1,12,0,1
strutting to young thug cures my depression,0,0,4,0,0
"SUMMER DEPRESSION COMES EVERY YEAR, I JUST WANT TO DISAPPEAR.",0,0,0,0,0
"I have struggled with appetite for as long as I can remember, but especially since the 2010s with the advent of my unipolar depression diagnosis.",1,0,16,0,0
"“Clovy you look so well rested, what’s your secret??”

Me: “Awwe I appreciate it. It’s the Depression 😊” https://t.co/QeBFoKlCMX",1,0,6,0,0
"So when I called up to get a form to apply for PIP I was asked if I was diagnosed with any of a long list which included “chronic depression, severe adhd &amp; severe autism”...

Why the severity labels? What is the question for? I didn’t feel able to ask...",0,0,1,0,0
"*sees the suns in Minnesota*
Me: goodbye seasonal depression, hello normal depression.

Credit: @MetullCale",0,2,1,0,1
k I’m bout to say something .. body image to me has always been numbers. I’ve always been ashamed of how much I weigh and haven’t been able to lose weight successfully bc my depression always halts me from going the extra mile and bettering my body at the gym / out in general,1,0,1,0,0
"PETE DROPPED OUT
DEPRESSION INSTANTLY LIFTED",1,0,8,0,0
You are going to feel like someone gave you a shot of sadness depression anxiety and rage we loved through it with nobody explaining emotional movement to us so as it goes down from 25 to 45 use it as a reminder your grandmother made it through in enjoyment and fight through it,0,0,0,0,0
@FabeYouAFool You’re right. I just want this guy to understand how stupid he sounds by making it seem like it’s so much harder to have depression as a man. Depression is hard regardless of how you identify,0,0,0,0,1
A Two Hour Sunday Siesta Turned Into A Seventeen Hour Depression Nap And Other Quirky Monday Things.,0,0,0,0,0
"*me minding my own business having a decent day*

Depression: https://t.co/ByB6hEnvVG",0,0,3,0,0
Depression sucks . I get the worst cry spells .,0,0,1,0,0
i look happy but deep down i'm a girl in depression looking for help.,4,3,21,0,0
"If I can overcome my depression, I can blow up in a week",0,0,0,0,0
"im so fucking tired. not sleepy, just tired. my depression has reached a new low and i can feel it. im so hyper aware of it, and i am literally watching my life deteriorate around me and i dont have it in me to just deal with it. ive been depressed for as long as i can",2,0,6,0,0
Since we talking abt male depression I hope my boyfriend know he don’t have to hide nothing from me or go through anything alone. I’m here for you bby!,0,0,0,0,0
it's a valid for manga on the depression,0,0,0,0,0
depression won today🥺,1,1,3,0,0
@jimmy_dore FDR prolonged the Great Depression. We can save capitalism by repealing onerous regulations and reducing spending.,5,5,85,0,1
Thank you Lord for speaking to me today! I felt your presence! No room for depression or anxiety fill me with your Holy Spirit from this day forward 🙏🏽🤍,0,0,2,0,0
"Remember your diagnosis does NOT define you. 

♥️

You can have anxiety/autism/depression/BPD/ETC ETC ETC but that doesn't have to drown out your whole existence. You have a PERSONALITY too. x",0,1,7,0,0
listen to surfaces to get rid of your depression,0,0,0,0,0
"I need a drink and a blunt. I wanna clock out and go about a carefree life. I've been working since 18 and no time for family, friends, or myself. And it's drove me severe depression and anxiety to loose my will.",0,0,0,0,0
don't know if this fatigue is from my arthritis or depression or both hahaha i'm in so much physical and mental pain,2,0,6,0,0
@Lyseexox @melissameddane Pls dont start aren’t u the one jobless rn in fake depression lmaooooo,0,0,3,0,1
"mm yes, I love having depression puts every day around dinner time. just love cooking a lovely meal for myself, an activity I love doing, and sitting down to eat it and feeling immediate numbness and generalized melancholy",0,0,1,0,0
"but who needs sleep when you can have:
Depression",0,0,0,0,0
@feIlthruearth getting depression now,1,0,0,0,0
